City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,9.81,46,20,8.23,AR,1696006230
1,amga,60.8953,131.9608,-2.5,72,23,1.69,RU,1696006603
2,tidjikja,18.5564,-11.4271,41.52,7,80,5.31,MR,1696006271
3,ilulissat,69.2167,-51.1,2.01,64,75,1.54,GL,1696006232
4,tromso,69.6496,18.957,10.01,93,75,0.0,NO,1696006274
5,nagykoros,47.0342,19.7786,22.97,53,0,0.0,HU,1696006603
6,nagqu,31.5,92.0,4.58,83,83,2.54,CN,1696006603
7,alta,69.9689,23.2717,9.59,87,0,1.03,NO,1696006603
8,tabou,4.423,-7.3528,26.8,81,22,3.38,CI,1696006603
9,ratnagiri,16.9833,73.3,25.24,88,100,7.12,IN,1696006603
10,udachny,66.4167,112.4,0.25,92,100,6.28,RU,1696006244
11,tanjung pandan,-2.75,107.65,24.42,86,14,2.08,ID,1696006603
12,forster,-32.1667,152.5167,15.24,80,0,0.95,AU,1696006260
13,grytviken,-54.2811,-36.5092,-0.4,81,20,5.99,GS,1696006233
14,whitehorse,60.7161,-135.0538,5.43,95,100,0.0,CA,1696005978
15,edinburgh of the seven seas,-37.0676,-12.3116,10.9,76,100,12.53,SH,1696006231
16,tommot,58.9564,126.2925,4.72,92,100,0.95,RU,1696006604
17,potoci,43.4086,17.8786,25.73,38,20,1.54,BA,1696006604
18,urangan,-25.3,152.9,18.27,81,0,2.15,AU,1696006604
19,abancay,-13.6339,-72.8814,24.61,43,72,3.78,PE,1696006604
20,saiha,22.4833,92.9667,21.74,99,100,0.83,IN,1696006604
21,klyuchi,52.2667,79.1667,13.15,57,100,1.86,RU,1696006050
22,port-aux-francais,-49.35,70.2167,1.33,73,25,19.71,TF,1696006232
23,dudinka,69.4058,86.1778,-1.32,91,100,9.2,RU,1696006244
24,college,64.8569,-147.8028,1.56,74,75,2.06,US,1696006241
25,berdigestyakh,62.0989,126.6992,-2.32,63,61,0.96,RU,1696006604
26,suoyarvi,62.0833,32.35,14.05,90,100,3.87,RU,1696006604
27,kingston,17.997,-76.7936,31.8,71,20,5.66,JM,1696006107
28,st. john's,47.5649,-52.7093,19.04,61,40,10.8,CA,1696006074
29,albany,42.6001,-73.9662,14.65,93,100,0.89,US,1696006234
30,lebu,-37.6167,-73.65,13.46,65,0,7.37,CL,1696006082
31,blackmans bay,-43.0167,147.3167,7.51,89,62,2.8,AU,1696005972
32,christchurch,-43.5333,172.6333,6.62,83,75,5.66,NZ,1696005820
33,adamstown,-25.066,-130.1015,20.54,80,90,10.27,PN,1696006231
34,uturoa,-16.7333,-151.4333,25.66,80,96,9.27,PF,1696006038
35,invercargill,-46.4,168.35,3.9,84,99,9.39,NZ,1696006233
36,jertih,5.7336,102.4897,24.62,92,97,1.73,MY,1696006605
37,sodra sandby,56.5667,16.6167,16.92,93,100,6.0,SE,1696006230
38,kapa'a,22.0752,-159.319,25.18,82,20,5.66,US,1696006247
39,chonchi,-42.6128,-73.8092,10.56,54,13,2.04,CL,1696006101
40,bethel,41.3712,-73.414,14.64,89,100,3.6,US,1696005992
41,longyearbyen,78.2186,15.6401,0.91,69,100,2.06,SJ,1696006238
42,saint-pierre,-21.3393,55.4781,22.82,73,0,1.03,RE,1696006605
43,kon tum,14.35,108.0,21.05,97,60,1.03,VN,1696006605
44,puerto ayora,-0.7393,-90.3518,26.98,87,81,2.68,EC,1696005989
45,labytnangi,66.6572,66.4183,-0.38,74,9,1.6,RU,1696006605
46,stanley,54.868,-1.6985,15.16,72,20,6.17,GB,1696006232
47,yellowknife,62.456,-114.3525,6.34,93,75,3.09,CA,1696006025
48,vikhorevka,56.1201,101.1636,11.77,69,99,2.02,RU,1696006605
49,margate,51.3813,1.3862,19.83,59,3,0.89,GB,1696006598
50,bredasdorp,-34.5322,20.0403,16.82,77,100,2.2,ZA,1696006237
51,copala,16.65,-98.9833,31.03,57,61,1.87,MX,1696006605
52,papatowai,-46.5619,169.4708,5.1,70,95,9.59,NZ,1696006234
53,bac lieu,9.285,105.7244,25.69,87,52,3.62,VN,1696006605
54,jagnair,26.8667,77.6,28.69,36,3,1.15,IN,1696006605
55,shimoda,34.6667,138.95,24.09,85,25,3.89,JP,1696006606
56,tura,25.5198,90.2201,24.84,91,100,1.71,IN,1696006258
57,puerto natales,-51.7236,-72.4875,12.25,40,75,8.23,CL,1696006232
58,margaret river,-33.95,115.0667,14.79,72,96,6.93,AU,1696006233
59,port alfred,-33.5906,26.891,20.1,87,19,0.45,ZA,1696005957
60,waitangi,-43.9535,-176.5597,9.34,91,88,3.58,NZ,1696006232
61,thompson,55.7435,-97.8558,12.09,82,75,2.57,CA,1696006234
62,kisangani,0.5167,25.2,30.2,66,20,2.06,CD,1696006606
63,windhoek,-22.5594,17.0832,30.27,7,0,2.57,NA,1696006394
64,portland,45.5234,-122.6762,14.44,87,100,3.6,US,1696006337
65,hawaiian paradise park,19.5933,-154.9731,23.35,95,100,2.06,US,1696006231
66,port elizabeth,-33.918,25.5701,22.16,53,0,6.17,ZA,1696006246
